kamar saya ada kendala di ac tidak berfungsi optimal . dan juga wifi koneksi kurang stabil . | (ac, tidak berfungsi optimal, negative); (wifi koneksi, kurang stabil, negative)
pesan kamar yang ada breakfast tetapi tidak dikasih breakfast , tidak ada sabun tidak ada sampo , handuk tidak diganti . nyew . | (breakfast, tidak dikasih, negative); (sabun, tidak ada, negative); (sampo, tidak ada, negative); (handuk, tidak diganti, negative)
sejauh pengalaman menginap baik , kamar cukup baik seauai dengan advertising nya pelayanan ramah , ada breakfast , . | (menginap, baik, positive); (kamar, cukup baik, positive); (pelayanan, ramah, positive); (breakfast, ada, positive)
sudah lunas bayar tetapi kamar tidak tersedia sampai harus menunggu dan agak rebutan dengan pelanggan lainnya agar dapat kamar . | (kamar, tidak tersedia, negative); (kamar, menunggu, negative); (kamar, rebutan, negative)
nyaman , bersih , lokasi sangat strategis . | (lokasi, sangat strategis, positive)
nyaman , tempat sarapan terlalu kecil . | (tempat sarapan, terlalu kecil, negative)
cukup baik kok . tetapi , kamar yang saya dapat no window . dan handuknya kotor , mengeluh . selebihnya seperti ac dan air panas si oke saja . | (window, no, negative); (handuknya, kotor, negative); (selebihnya, oke, positive); (ac, oke, positive); (air panas, oke, positive)
wifi jelek . | (wifi, jelek, negative)
nyaman , tenang , sarapan oke . | (sarapan, oke, positive)
secara keseluruhan fasilitas kamar dan pelayanannya memuaskan . | (secara keseluruhan, memuaskan, positive); (fasilitas kamar, memuaskan, positive); (pelayanannya, memuaskan, positive)
jika wifi memang tidak ada . jangan di buat ada . lantai 4 ribut . mungkin ada keluarga atau apalah . kamar besar . | (wifi, tidak ada, negative); (lantai 4, ribut, negative); (kamar, besar, positive)
menyenangkan semua fasilitasnya lengkap . | (fasilitasnya, lengkap, positive)
iya lumayan baik , semoga airy lebih jaya lagi dan nilai lebih bersaing dengan travel yang lain dan kami terjangkau oleh pengguna jasa airy terimakasih . | 
fitur sih sesuai keterangan di app . tetapi detail keadaan kamar nya perlu di maintain , seperti gagang yang berkarat bahkan kloset tanpa dudukan . | (fitur, sesuai keterangan, positive); (keadaan kamar, perlu di maintain, negative); (gagang, berkarat, negative); (kloset, tanpa dudukan, negative)
kamarnya bagus dan bersih next stay di sini lagi . | (kamarnya, bagus, positive); (kamarnya, bersih, positive)
nyaman dan bersih , pelayanan baik , tetapi channel tv cuma ada 8 dan exhaust fan kamar mandi tidak nyala , mohon ditingkatkan . | (pelayanan, baik, positive); (exhaust fan kamar mandi, tidak nyala, negative)
memang diroom berantem , lucu . padahal cuma tidur . | 
pelayanan baik , ramah . | (pelayanan, baik, positive)
untuk harga murah , worth it . bersih , cukup tenang , mudah ditemukan . dekat alfamidi . | (harga, murah, positive)
tidak diberi snack dan air mineral saat penambahan hari . | (snack, tidak diberi, negative); (air mineral, tidak diberi, negative)
lantai kamar mandi kamar saya agak licin , mohon dibersihkan dengan baik . overall semua sangat baik . terima kasih . | (lantai kamar mandi, agak licin, negative); (overall, sangat baik, positive)
saya menginap di kamar 117 , reviewnya : 1 . bantal keras 2 . biasanya dikasih bantal airy , tetapi ini tidak ada . dikasih dua bantal tambahan sih tetapi tidak dikasih sarung bantalnya 3 . tidak ada termos untuk buat air panas 4 . shower bocor 5 . remote tv tidak berfungsi 6 . kenop pintu kamar mandi macet , jadi tidak bisa ditutup rapat 7 . kamar hanya satu kali dibersihkan . | (bantal, keras, negative); (bantal airy, tidak ada, negative); (sarung bantalnya, tidak dikasih, negative); (termos, tidak ada, negative); (shower, bocor, negative); (remote tv, tidak berfungsi, negative); (pintu kamar mandi, macet, negative)
pelayananya ramah dan pokoknya keren banget deh . | (pelayananya, ramah, positive)
hotel bagus , bersih , pelayanan baik , staf hotel ramah , hanya harga yang ditawarkan airy dengan harga apabila beli langsung di hotel tidak terpaut jauh ( agak mahal ) jika tidak ada kupon diskon . karena yang ditawarkan airy tanpa breakfast lho . | (hotel, bagus, positive); (hotel, bersih, positive); (pelayanan, baik, positive); (staf hotel, ramah, positive); (harga, agak mahal, negative); (breakfast, tanpa, negative)
good , pelayanan sangat ramah dan tempat bersih . | (pelayanan, sangat ramah, positive); (tempat, bersih, positive)
kamar bersih rapi dan besar . | (kamar, bersih, positive); (kamar, rapi, positive); (kamar, besar, positive)
tidak bisa refund . kamar mandi flush owl nya seperti kopi . | (refund, tidak bisa, negative); (flush owl, seperti kopi, negative)
kamarnya berada di lantai 3 . dan air panasnya tidak ada . | (air panasnya, tidak ada, negative)
kamar sempit , bersih , iya sesuai budget . cs dan pelayanan sangat ramah , letak nya strategis bisa dijangkau kmana saja . terimakasih . | (kamar, sempit, negative); (kamar, bersih, positive); (kamar, sesuai budget, positive); (cs, sangat ramah, positive); (pelayanan, sangat ramah, positive); (letak nya, strategis, positive)
aman dan nyaman + ac kurang dingin . | (ac, kurang dingin, negative)
ada snack gratis . tolong perbaiki lagi fasilitas kamar , shower tidak panas dan ranjang yang berdenyit . | (snack gratis, ada, positive); (fasilitas kamar, perbaiki lagi, negative); (shower, tidak panas, negative); (ranjang, berdenyit, negative)
recommended buat yang ingin menginap di hotel syariah . | (menginap, recommended, positive); (hotel, syariah, positive)
hotelnya di rumah toko , jadi parkir kurang memadai . | (parkir, kurang memadai, negative)
saya senang menginap disini , nyaman . | (menginap, nyaman, positive)
ada bencana tetapi pihak hotel tidak memeberikan toleransi untuk mengubah jadwal menyesal book lewat airy tidak ada kebijakan disaat force mejeur . | (toleransi, tidak, negative); (kebijakan disaat force mejeur, tidak ada, negative)
penjaganya ramah . | (penjaganya, ramah, positive)
overall bagus , cuma toiletnya tidak ada airnya . | (overall, bagus, positive); (toiletnya, tidak ada airnya, negative)
yang perlu diperbaiki channel tv nya gambarnya kurang bagus kalau bisa sih pakai tv kabel saja he . | (channel tv nya gambarnya, perlu diperbaiki, negative); (channel tv nya gambarnya, kurang bagus, negative)
senang . next time mau lagi ke tempat ini . | 
breakfast enak , tempat bagus , tetapi saat tidur tibatiba ada orang yang membuka pintu kamar padahal saya sedang tidur dan kamar dikunci . entah itu tamu lain atau petugas . mohon diperhatikan lagi . | (breakfast, enak, positive); (tempat, bagus, positive); (orang yang membuka pintu kamar, tibatiba ada, negative)
lumayanlah , tetapi ruangannya tidak kedap suara . pelayanan nya kurang . | (ruangannya, tidak kedap suara, negative); (pelayanan nya, kurang, negative)
lebih di tingkat kan lagi . | 
fasilitas dan kenyamanan top banget . tetapi resepsionis pelayanan nya kurang . sama jauh kemanamana , tetapi masih bisa taxol kok : ) . | (fasilitas, top banget, positive); (kenyamanan, top banget, positive); (resepsionis pelayanan nya, kurang, negative); (kemanamana, jauh, positive); (taxol, bisa, positive)
tempat nyaman cuma hanya chanel tv tidak komplit kalau komplit bagus nyaman sekalia cuma hanya ada 4 chanel yang ada . | (tempat, nyaman, positive); (chanel tv, tidak komplit, negative)
bersih . dan dekat stasiun . | (stasiun, dekat, positive)
pelayanannya ramah dan cepat . | (pelayanannya, ramah, positive); (pelayanannya, cepat, positive)
cukup memuaskan nyaman dan pelayanannya . | (pelayanannya, cukup memuaskan, positive)
nyaman dan bersih banget ! | 
dengan harga murah bisa dapat kamar yang nyaman dan bagus . | (harga, murah, positive); (kamar, nyaman, positive); (kamar, bagus, positive)
hotel dengan budget standar tetapi fasilitas kamar setara dengan hotelhotel mewah bintang 4 . | (budget, standar, positive); (fasilitas, mewah, positive)
pelayanan ramah , kamar selalu dibersihkan dan dirapikan setiap hari dengan baik , resepsionis ramah , tempat strategis , dan yang istimewa dapat snack setiap hari . overall bagus . | (pelayanan, ramah, positive); (kamar, dibersihkan, positive); (kamar, dirapikan, positive); (resepsionis, ramah, positive); (tempat, strategis, positive); (snack, dapat, positive); (overall, bagus, positive)
kamar cukup bersih , sayang tidak sesuai dengan ekspektasi yang digambar . telepon kamar mati ada nyamuk ac tidak dingin tidak ada paket bathroom seperti biasa standar airy . | (kamar, cukup bersih, positive); (ekspektasi yang digambar, tidak sesuai, negative); (telepon kamar, mati, negative); (ac, tidak dingin, negative); (paket bathroom, tidak ada, negative)
kamar yang bersih . dengan harga yang terjangkau . terimakasih olive . | (kamar, bersih, positive); (harga, terjangkau, positive)
kali kedua menginap 2mlm , yang hari kedua tidak diberi air minum dan lainlain ( tehcelup , kopi gula sachet ) , hanya complimentary snack dan toiletries dari airy saja yang diberikan . masa harus mintaminta terus tiap dihr kedua . mohon perhatiannya , kita selalu pgn kembali ke airy makan teman haryono tetapi seperti ini harus cb cara tempat lain saja . | (air minum, tidak diberi, negative); (tehcelup, tidak diberi, negative); (kopi gula sachet, tidak diberi, negative); (complimentary snack, diberikan, positive); (toiletries, diberikan, positive)
baik cuma buat masukkan kedepannya , kemarin seprainya agak demek seperti belum kering , dengan kondisi musim hujan , menyarankan agar diperhatikan hal tersebut terima kasih . | (seprainya, agak demek, negative)
pelayan ramah . dapat dilantai 4 . jadi pr banget turun naik tangga nya . | (pelayan, ramah, positive); (turun naik tangga, jadi pr banget, negative)
kurang bersih saja . | (bersih, kurang, negative)
3 . tidak ada bantal biru khas airy , snacksnack kualitas rasanya jauh dari biasanya . : ( . | (bantal biru, tidak ada, negative); (snacksnack, jauh dari biasanya, negative)
nyaman , semua bersih . tetapi sayang air minum dan wifi tidak tersedia . | (semua, bersih, positive); (air minum, tidak tersedia, negative); (wifi, tidak tersedia, negative)
kamar luas dan nyaman , sayang belum termasuk sarapan . | (kamar, luas, positive); (kamar, nyaman, positive); (sarapan, belum termasuk, negative)
pelayanan yang sangat ramah dan sangat membantu . | (pelayanan, sangat ramah, positive); (pelayanan, sangat membantu, positive)
kamar luas dan rapi , tetapi sayang untuk tv kebetulan sedang jelek sinyalnya dan minta ganti ke kamar yang lain yang memiliki sinyal bagus tidak di perbolehkan karena pesan dari airy rooms dan tidak tersedia wifi . | (kamar, luas, positive); (kamar, rapi, positive); (tv, jelek sinyalnya, negative); (wifi, tidak tersedia, negative)
dari fasilitas , saya kecewa karena wifi yang tidak bisa diakses . dan layanan breakfast yang tidak dikonfirmasikan batas waktu , sehingga tidak bisa saya dapatkan karena layanan hanya sampai jam 9.00 . | (fasilitas, kecewa, negative); (wifi, tidak bisa diakses, negative); (breakfast, tidak dikonfirmasikan batas waktu, negative)
harga terjangkau , kualitasnya bagus . | (harga, terjangkau, positive); (kualitasnya, bagus, positive)
ditingkatkan saja terus . terimakasih . | 
tempat nyaman walaupun ada bau rokok . | (tempat, nyaman, positive); (tempat, ada bau rokok, negative)
parkirannya agak penuh iya , susah keluar kalau pagipagi . | (parkirannya, agak penuh, negative); (parkirannya, susah keluar, negative)
mas penjaga nya ramah dan pelayanan nya sopan . | (penjaga, ramah, positive); (pelayanan nya, sopan, positive)
ukuran kamar standar fasilitas lengkap , sauna , fitnes , kolam air panas dan dingin . staf ramah dapat kamar : kamar mandi licin , sepertinya tempat sabun sampo bocor , tetapi tidak diperbaiki , jadi berbahaya kalau tidak hatihati dikamar mandi . air mengenang dikamar mandi ( jika keluar dari kotak shower ) . | (ukuran kamar, standar, positive); (fasilitas, lengkap, positive); (staf, ramah, positive); (kamar mandi, licin, negative); (tempat sabun sampo, bocor, negative); (tempat sabun sampo, tidak diperbaiki, negative); (dikamar mandi, berbahaya, negative); (air, mengenang, negative)
cuma waktu mau check out . respons agak lambat . | (respons, agak lambat, negative)
pelayanan prima . | (pelayanan, prima, positive)
kamar nyaman , bersih lokasi strategis . | (kamar, nyaman, positive); (kamar, bersih, positive); (lokasi, strategis, positive)
seprenya kurang bersih , sarapannya kurang baik . | (seprenya, kurang bersih, negative); (sarapannya, kurang baik, negative)
kamarnya bersih , pelayanan bagus . cuma lampu ada yang mati jadi agak gelap di sekitar tempat tidur . tempat sabun sampo juga tidak berfungsi di kamar mandi . harap ditingkatkan . | (kamarnya, bersih, positive); (pelayanan, bagus, positive); (lampu, mati, negative); (sekitar tempat tidur, agak gelap, negative); (tempat sabun sampo, tidak berfungsi, negative)
kamarnya terlalu sederhana . makan sarapan paginya tidak enak . pelayanan kurang . tempat makan kurang nyaman . | (kamarnya, terlalu sederhana, negative); (sarapan, tidak enak, negative); (pelayanan, kurang, negative); (tempat makan, kurang nyaman, negative)
sungguh sangat mengecewakan . saya sangat tidak recommended buat menginap di airy room ini . saya menyesal sudah langsung bayar buat 2 malam , karena saya hanya menginap semalam saja karena sudah trauma , dan tidak mendapat solusi apa pun dari pihak hotelnya . | (menginap, sangat tidak recommended, negative); (menginap, trauma, negative); (solusi, tidak mendapat, negative)
kamar cukup nyaman . | (kamar, cukup nyaman, positive)
selimutnya tidak ada beda sama airy yang di jalan mappanyukki ada selimutnya : ( . | (selimutnya, tidak ada, negative)
pelayanannya ramah , malam minggu ada live musicnya , untuk breakfast enak banget dan variatif kurangnya hanya suara dari koridor dan lantai bawah terdengar ke kamar , suara dari kamar lain terdengar jelas banget . | (pelayanannya, ramah, positive); (live musicnya, ada, positive); (breakfast, enak banget, positive); (breakfast, variatif, positive); (suara dari koridor, terdengar, negative); (suara dari kamar lain, terdengar, negative)
tempat nyaman , bersih . lokasi aman . | (tempat, nyaman, positive); (tempat, bersih, positive); (lokasi, aman, positive)
ayo diskon 50 nya dibikin lagi . | 
pelayannya kurang ramah . | (pelayannya, kurang ramah, negative)
lokasi strategis dekat pasar . | (lokasi, strategis, positive); (pasar, dekat, positive)
pelayanan kurang bagus akibat kesalahan resepsionis . kamar saya sudah ada yang pakai berantakan pas mau masuk . | (pelayanan, kurang bagus, negative); (kamar, berantakan, negative)
sebenarnya tidak jadi di airy cabang setiabudi karena overbooking . tetapi pihak airy cekatan dalam mem . | 
khas airy murah , tetapi banyak bekas bercakbercak di bantal dan kasur . buat tidak nyaman . dengan harga segitu kita juga tidak berharap lebih , tetapi ada baiknya kebesihan yang utama . | (bantal, banyak bekas bercakbercak, negative); (kasur, banyak bekas bercakbercak, negative)
pelayanan yang cepat , mudah , yang jaga baik . tidak ribet , dapat snack pula . | (pelayanan, cepat, positive); (pelayanan, mudah, positive); (yang jaga, baik, positive); (yang jaga, tidak ribet, positive); (snack, dapat, positive)
bersih , seprai wangi , cuma lampu kamarnya yang agak redup ( mungkin biar enak buat bobok x iya ) , over all oke sesuai harga . | (seprai, wangi, positive); (lampu kamarnya, agak redup, negative); (over all, oke, positive); (harga, sesuai, positive)
untuk kamar sangat nyaman dan kersihannya terjaga untuk pelayanannya sangat ramah . | (kamar, sangat nyaman, positive); (kersihannya, terjaga, positive); (pelayanannya, sangat ramah, positive)
dengan budget yang pas dikantong tetapi fasilitas oke lengkap . lokasi kemana mana tetapi macet depan hotel . | (budget, pas dikantong, positive); (fasilitas, oke, positive); (fasilitas, lengkap, positive); (lokasi, kemana mana, positive); (depan hotel, macet, negative)
kamarnya kurang bersih . | (kamarnya, kurang bersih, negative)
kamarnya sempit dan pengap . unik memang designnya . kalau luas sedikit lagi saja pasti bagus . dan ventilasi / blower . itu perlu banget . posisi ac perlu diganti . | (kamarnya, sempit, negative); (kamarnya, pengap, negative); (designnya, unik, positive); (posisi ac, perlu diganti, negative)
wifi tidak terhubung , suasana kurang tenang karena ada renovasi di lobi , kamar lebih kecil dari kelihatannya , tidak ada coffee maker di kamar padahal di fotonya ada , ada lalat di kamar dan susah ngeluarinnya karena jendela cuma kaca dan tidak bisa dibuka . | (wifi, tidak terhubung, negative); (suasana, kurang tenang, negative); (kamar, kecil, negative); (coffee maker, tidak ada, negative); (kamar, lalat, negative); (jendela, tidak bisa dibuka, negative)
breakfast kurang variatif . over all oke ! | (breakfast, kurang variatif, negative); (over all, oke, positive)
ac tidak begitu dingin . ruangan oke . kamar mandi oke . | (ac, tidak begitu dingin, negative); (ruangan, oke, positive); (kamar mandi, oke, positive)
keadaan kamar tidak sesuai dengan foto yang ada . | (keadaan kamar, tidak sesuai, negative)
jaraknya jauh hotelnya susah dijangkau karena masuk komplrk . | (jaraknya, jauh, negative); (hotelnya, susah dijangkau, negative); (komplrk, masuk, negative)
kamar no.6 perlu perbaikan pintu kamar mandi . tidak bisa ditutup . | (kamar, perlu perbaikan, negative); (pintu kamar mandi, perlu perbaikan, negative); (pintu kamar mandi, tidak bisa ditutup, negative)
kamar bersih . | (kamar, bersih, positive)
hotel jorok banyak semut . | (hotel, jorok, negative); (hotel, banyak semut, negative)
wastafel ada bocor tetapi secara umum oke . | (wastafel, ada bocor, negative); (secara umum, oke, positive)
fasilitas sesuai dengan apa yang dijanjikan . hanya terkadang untuk menyambungkan wifi dari dalam kamar agak susah , harus keluar kamar terlebih dahulu baru wifi tersambung . | (fasilitas, sesuai, positive); (wifi, agak susah, negative)
datang langsung ditolak karena miss comunication antara airy dan pemilik tempat tv nya rusak hordeng tidak tertutup rapet kamarnya besar banget air nya kurang panas sedikit kasur nyaman banget ada meja kursi juga buat kerja ada kulkas buat nyimpen makanan dan minuman . | (comunication, miss, negative); (tv nya, rusak, negative); (hordeng, tidak tertutup rapet, negative); (kamarnya, besar banget, positive); (air nya, kurang panas sedikit, negative); (kasur, nyaman banget, positive); (meja kursi, ada, positive); (kulkas, ada, positive)
saat cek in kamar belum siap , handuk dan perlengkapan mandi belum ada . water heater tidak ada . fasilitas hotel yang lain cukup oke . | (kamar, belum siap, negative); (handuk, belum ada, negative); (perlengkapan mandi, belum ada, negative); (water heater, tidak ada, negative); (fasilitas hotel yang lain, cukup oke, positive)
jendela kamar tidak bisa tertutup karena tidak ada kunci , jadi banyak nyamuk yang masuk kedalam kamar . | (jendela kamar, tidak bisa tertutup, negative); (jendela kamar, tidak ada kunci, negative); (kamar, banyak nyamuk, negative)
pelayan ramah . tetapi kebersihan kurang sama wifi jelek air di kamar mandi sering mati . | (pelayan, ramah, positive); (kebersihan, kurang, negative); (wifi, jelek, negative); (air, sering mati, negative)
lokasi airy banyumanik sudarto 11 yang sangat strategis dekat dengan salah satu ptn terbesar di indonesia namun dengan budget yang sangat terjangkau membuat kita tidak perlu repot saat akan berakrifitas . | (lokasi, sangat strategis, positive); (budget, sangat terjangkau, positive)
air panas kecil , makanannya ala kadarnya dan tidak sesuai dengan tarif hotel kalau cuma itu saja . | (air panas, kecil, negative); (makanannya, ala kadarnya, negative); (makanannya, tidak sesuai, negative)
nyaman dan bersih . dan lemari harus pakai pewangi dong biar tidak bau apekk . terimakasih . | (lemari, bau apekk, negative)
kurang bagus , kamar nya sempit , kamar mandi nya juga kurang bersih , menu breakfast nya juga standar az . | (kamar nya, sempit, negative); (kamar mandi nya, kurang bersih, negative); (menu breakfast nya, standar, negative)
hotelnya bersih , makanan enak , pelayanan ramah dan baik . cuma ada 1 yang harus diperbaiki atap bekas bocor di kamar terlihat kotor . dwi bidyawati , 16 - 17 desember 2017 . | (hotelnya, bersih, positive); (makanan, enak, positive); (pelayanan, ramah, positive); (pelayanan, baik, positive); (atap, bekas bocor, negative); (kamar, kotor, negative)
kurang baik sirkulasi udaranya , saran saja untuk di kasih , sirkulasi udara ( ventilasi kecil ) rawan jika ac rusak bisa keracunan terimakasih . , untuk harga , kebersihan dan attitude sudah baik . | (sirkulasi udaranya, kurang baik, negative); (harga, baik, positive); (kebersihan, baik, positive); (attitude, baik, positive)
bagus . pelayanannya . | (pelayanannya, bagus, positive)
bersih dan nyaman . | 
tempat nyaman dan harga terjangkau bisa buat referensi yang mau liburan ke bali . | (tempat, nyaman, positive); (harga, terjangkau, positive)
bagus . air panas nya tidak menyala . | (air panas nya, tidak menyala, negative)
hotelnya bagus . kamarnya bersih dan nyaman , kamar mandinya bersih . staf hotelnya ramah . pokoknya nyaman . next kalau ke mlng lagi mau menginap di sini lagi . | (hotelnya, bagus, positive); (hotelnya, nyaman, positive); (kamarnya, bersih, positive); (kamarnya, nyaman, positive); (kamar mandinya, bersih, positive); (staf hotelnya, ramah, positive)
kamarnya tidak sesuai dengan pilihn di aplikasi , agak sempit . | (kamarnya, tidak sesuai, negative); (kamarnya, agak sempit, negative)
handuk berbau , makanan terlambat dan tidak seperti standar airy seperti biasanya . karyawan sangat tidak ramah . | (handuk, berbau, negative); (makanan, terlambat, negative); (makanan, tidak seperti standar, negative); (karyawan, sangat tidak ramah, negative)
kamar lumayan oke , hanya kamar mandi perlu di renovasi kembali karena cat tembok nya yang terkopekterkopek jadi tidak rapi . | (kamar, lumayan oke, positive); (kamar mandi, perlu di renovasi, negative); (cat tembok, tidak rapi, negative)
dapat snack airy setelah checkout , sarapan dapat nasi kotak , lantai kamar mandi licin , kamar agak bau . | (lantai kamar mandi, licin, negative); (kamar, agak bau, negative)
sebenarnya hotel ini dan bagus , tolong lebih di tingkatkan tanggung jawab nya ! | (hotel, bagus, positive); (tanggung jawab nya, lebih di tingkatkan, negative)
yah sebenarnya tidak berharap bagaimana juga . karena memang sesuai harga sih . tetapi yang agak buat kesel di kamar mandi jorok sekali . ada handuk bekas orang menginap dan masih bau pesing . | (kamar mandi, jorok sekali, negative); (kamar mandi, bau pesing, negative)
sangat bagus dan sangat nyaman . | 
listrik masih perlu diperbaiki sering mati . | (listrik, perlu diperbaiki, negative); (listrik, sering mati, negative)
hotel nyaman , ada air panasnya juga . ac dingin dan kasurnya luas . cuma sayang sabun di kamar mandinya habis . | (hotel, nyaman, positive); (air panasnya, ada, positive); (ac, dingin, positive); (kasurnya, luas, positive); (sabun, habis, negative)
kamar tidak kedap suara . | (kamar, tidak kedap suara, negative)
overall baik murah pelayanan prima semua fasilitas lengkap sesuai yang ditawarkan pada saat reservasi . namun , salah satu kamar dari pesanan saya yang acnya panas . untungnya pihak hotel bersedia memindahkan kamar ke yang lebih baik . bagus airy ! | (overall, baik, positive); (overall, murah, positive); (pelayanan, prima, positive); (fasilitas, lengkap, positive); (fasilitas, sesuai yang ditawarkan, positive); (acnya, panas, negative)
not recommended ! peraturannya tidak jelas , kamar mandinya kecil , tidak disediakan air minum . ada air tidak . | (peraturannya, tidak jelas, negative); (kamar mandinya, kecil, negative); (air minum, tidak disediakan, negative)
sarapan yang kurang menarik . | (sarapan, kurang menarik, negative)
pelayanan baik , ramah , hanya tv nya terlalu kecil . | (pelayanan, baik, positive); (pelayanan, ramah, positive); (tv nya, terlalu kecil, negative)
bagus . hanya saja untuk air panasnya kurang . karena masih terasa dingin euy . untuk tempat tidur sih bagus dan nyaman . | (air panasnya, kurang, negative); (air panasnya, masih terasa dingin, negative); (tempat tidur, bagus, positive); (tempat tidur, nyaman, positive)
yang paling saya suka ada smoking areanya . | (smoking areanya, ada, positive)
pelayanan yang ramah , dan penginapan nyaman . bersih dan recommended banget pokoknya . | (pelayanan, ramah, positive); (penginapan, nyaman, positive); (penginapan, bersih, positive); (penginapan, recommended banget, positive)
saya puas dengan pelayanan nya yang sangat baik . | (pelayanan nya, sangat baik, positive)
sering mati listrik jika pemanas air dan ac dinyalakan . | (listrik, sering mati, positive)
sangat puas . | 
bagus sekali . | 
pintu kamar mandi tidak bisa ditutup , kamar mandi berbau selokan mohon diberi kapur barus , peneranga . | (pintu kamar mandi, tidak bisa ditutup, negative); (kamar mandi, berbau selokan, negative)
pelayanannya sangat ramah , kamar dan kamar mandi bersih , kendaraan dicuciin . pasti balik lagi deh . | (pelayanannya, sangat ramah, positive); (kamar, bersih, positive); (kamar mandi, bersih, positive)
tidur nyaman sarapan kenyang . | (tidur, nyaman, positive); (sarapan, kenyang, positive)
menu sarapan kurang enak . | (menu sarapan, kurang enak, negative)
pelayanan sangat baik , parkir lebar , kamar bersih , pokonya puas , next menginap lagi . | (pelayanan, sangat baik, positive); (parkir, lebar, positive); (kamar, bersih, positive)
bukan macam penginapan . sudah konfirmasi . bahkan tidak ada kamar . buang uang saja . | (kamar, tidak ada, negative)
perlu adanya pelayanan air minum ( panas dingin ) dengan fasilitas dispenser . | (pelayanan air minum, perlu adanya, negative)
proses cek in cepat tanpa deposit , dekat ciwalk , overall bagus . | (proses cek in, cepat, positive); (proses cek in, tanpa deposit, positive); (overall, bagus, positive)
wastafel kamar mandi sering tersumbat . peralatan mandi cuma dapat 1 set . untuk cleaning room nya cuma dirapikan tidak diganti badcovernya . | (wastafel kamar mandi, sering tersumbat, negative)
bersih cuma toiletnya rusak sama sarapan kurang . | (toiletnya, rusak, negative); (sarapan, kurang, negative)
tempat nya enak dan tenang . | (tempat nya, enak, positive); (tempat nya, tenang, positive)
ac kurang dingin . | (ac, kurang dingin, negative)
pelayanan ramah kamar bersih . | (pelayanan, ramah, positive); (kamar, bersih, positive)
seprai nya saja yang kurang bersih selebihnya oke . | (seprai nya, kurang bersih, negative); (selebihnya, oke, positive)
hotel bersih dan pelayanan ramah bersahabat , bayar parkiran setiap keluar masuk kendaraan , request untuk tamu hotel dapat diskon parkiran . terimakasih airy . | (hotel, bersih, positive); (pelayanan, ramah, positive); (pelayanan, bersahabat, positive)
lampu penerangan masuk hotel gelap karena kan ada ditikungan harus lebih jelas dan terang , maaf terima kasih . | (lampu penerangan, gelap, negative)
bagus buat perjalanan bisnis . | 
kamar mandi terlalu sempit . | (kamar mandi, terlalu sempit, negative)
proses check in mudah dan cepat . terimakasih traveloka . | (proses check in, mudah, positive); (proses check in, cepat, positive)
lumayan bagus dan tempat nya strategis . | (tempat nya, strategis, positive)
hotelnya biasa biasa saja , sesuai budget . tetapi kemarin kena cas 100 ribu gara gara yang menginap 3 or . | (hotelnya, biasa biasa saja, negative); (hotelnya, sesuai budget, negative)
pokok asyik dan menyenangkan lain kali kita pesan lagi . | 
bersih , lebih nyaman lagi bila disiapin air panas di dispenser . terimakasih . | 
parkiran luas . | (parkiran, luas, positive)
pelayanan ramah . harga terjangkau dan kamar bersih . namun belum ada free wifi . | (pelayanan, ramah, positive); (harga, terjangkau, positive); (kamar, bersih, positive); (free wifi, belum ada, negative)
spring badnya keras . | (spring badnya, keras, negative)
aman dan nyaman juga . | 
nyaman dan pelayanan bagus . | (pelayanan, bagus, positive)
kebersihan kamar lebih ditingkatkan iya , di sekitar kusen jendela kotor banget . seperti tidak pernah . | (kebersihan kamar, lebih ditingkatkan, negative); (kusen jendela, kotor banget, negative)
bersih , cuma kamar agak sempit . klu buat 2 orang cocok . klu buat keluarga yang sudah punya anak , sptnya kasihan anaknya . | (kamar, agak sempit, negative)
kalau bisa disediakan sandal untuk tamu . | 
penginapan rcomend banget dekat dari mana " pusat kota pula . | (penginapan, rcomend banget, positive); (penginapan, dekat dari mana ", positive)
serasa di rumah sendiri . kamar bersih walaupun agak sempit . | (kamar, bersih, positive); (kamar, agak sempit, negative)
ac tidak dingin , gelep kamar nya . | (ac, tidak dingin, negative); (kamar nya, gelep, negative)
hotel yang cukup baik dengan staf yang ramah dan tersedia sarapan . | (hotel, cukup baik, positive); (staf, ramah, positive); (sarapan, tersedia, positive)
nyaman bersama keluarga nginapnya . | 
pelayanan bagus dan ramah , kebersihan dan kenyamanan kamar sangat bagus , untuk sarapan pagi standar . | (pelayanan, bagus, positive); (pelayanan, ramah, positive); (kebersihan, sangat bagus, positive); (kenyamanan kamar, sangat bagus, positive); (sarapan pagi, standar, negative)
kamar bersih , toilet bersih , ac dingin , air panas lancar , nyamuk lumayan banyak , mohon diperhatikan , saat sarapan tidak diberitahu makanannya sudah dingin jadi tidak enak . | (kamar, bersih, positive); (toilet, bersih, positive); (ac, dingin, positive); (air panas, lancar, positive); (sarapan, tidak enak, negative)
pelayanannya sangat baik dan ramah . | (pelayanannya, sangat baik, positive); (pelayanannya, ramah, positive)
bak mandi bocor . tolong diperbaiki . | (bak mandi, bocor, negative)
tmpatnya nyamn . brsh . dan ramah . | (tmpatnya, nyamn, positive); (tmpatnya, brsh, positive)
sangat baik pelayanan prima . | (pelayanan, prima, positive)
saya dan istri cuma di kasih handuk buat lap keringat bukan nya handuk mandi . di sangkanya kami anak bayi . | 
