1 | oke banget , tetapi ac nya tidak bisa diatur suhu nya . | (ac nya, tidak bisa diatur, negative)
501 | puri ratu babarsari sangat bagus , tempat nyaman . untuk perbaikan ke depan , mohon disediakan hanger di lemari . selebihnya sudah oke semua . | (tempat, nyaman, positive); (selebihnya, oke, positive)
502 | untuk harga yang kami dapat 200 ribu pada hari pasca lebaran sangat memuaskan , kamar bersih , rapi , kolam renang dan vie bagus hanya kami tidak dapat snack dan alat mandi dalam dompet airy seperti biasa . | (kamar, bersih, positive); (kamar, rapi, positive); (kolam renang, bagus, positive); (vie, bagus, positive); (snack, tidak dapat, negative); (alat mandi, tidak dapat, negative)
503 | lumayan ayem , sayang acnya banyak yang rusak jadi kurang dingin . | (acnya, rusak, negative); (acnya, kurang dingin, negative)
504 | biasanya aku dapat snack di room ini tidak sama sekali ac nya bau cuka ( tidak tahu seperti cuka tetapi aneh banget . | (ac nya, bau cuka, negative)
505 | kamarnya bersih , pelayanan cukup oke , ada cemilan gratisnya di kamar lumayan banyak , terima kasih breakfastnya bervariasi . makanannya enak apalagi restonya berada di rooftop 4 floor . jadi sarapan bisa langsung lihat pemandangan laut yang bagus dan sunrise pagi ini itu keren dan indah banget kelihatan sekali dari rooftopnya , beruntung pas kesana cuacanya lagi cerah banget , terima kasih airy untuk pelayanannya cukup mengesankan . | (kamarnya, bersih, positive); (pelayanan, cukup oke, positive); (cemilan gratisnya, ada, positive); (breakfastnya, bervariasi, positive); (makanannya, enak, positive); (pelayanannya, cukup mengesankan, positive)
506 | kamarnya bersih , pelayanan cukup oke , ada cemilan gratisnya di kamar lumayan banyak , terima kasih breakfastnya bervariasi . makanannya enak apalagi restonya berada di rooftop 4 floor . jadi sarapan bisa langsung lihat pemandangan laut yang bagus dan sunrise pagi ini itu keren dan indah banget kelihatan sekali dari rooftopnya , beruntung pas kesana cuacanya lagi cerah banget , terima kasih airy untuk pelayanannya cukup mengesankan . | (kamarnya, bersih, positive); (pelayanan, cukup oke, positive); (cemilan gratisnya, ada, positive); (breakfastnya, bervariasi, positive); (makanannya, enak, positive); (pelayanannya, cukup mengesankan, positive)
507 | lumayan . hanya saja kalau malam air kurang kencang dan air panasnya tidak terasa . | (air, kurang kencang, negative); (air panasnya, tidak terasa, negative)
508 | kamar nya bagus , tetapi tidak ada room pelayanan nya . cuma jangan khawatir karena depan hotel banyak banget yang jual makanan . | (kamar nya, bagus, positive); (room pelayanan nya, tidak ada, negative)
509 | memang sangat murah menurut saya . hanya sayang tidak bersih , khususnya di kamar mandi . sepertinya berbulan bulan tidak dibersihkan , hanya disiram siram saja . | (kamar mandi, tidak bersih, negative)
510 | sangat dekat dengan bandara bersih , harga terjangkau . | (harga, terjangkau, positive)
511 | lumayan dengan harga segitu di balikpapan . | 
512 | lumayan bersih , tetapi ada kecoak keluar , tolong di monitoring terus untuk kebersihan . recomended untuk backpacker . | 
513 | lobi hotel bau gorengan , panas , kitchen ada di front office , baru lihat ada kitchen kecil di fo . lift mati , kamar ada cecunguk di bantal sangat menjijikan . saya minta cancel dan refund order saya 2 malam disini . | (lobi hotel, bau gorengan, negative); (lobi hotel, panas, negative); (lift, mati, negative); (kamar, ada cecunguk, negative)
514 | cukup memuaskan menginap di airy room . terima kasih banyak airy room . | 
515 | sebanding dengan harga lah , cukup memuaskan . | 
516 | lumayan sama budget nya . | 
517 | sangat sangat memuaskan . terimakasih airy syariah teluk bayur gatot subroto berau . | 
518 | kue untuk breakfastnya enak , . kurang berkesan karena pegawainya kurang senyum , . pas datang engak jelas lihat pintu masuk hotelnya , . di ketuk " pintunya lah , . eh petugasnya datang memberikan tahu nya dengan nada agak galak . | (kue, enak, positive); (pegawainya, kurang senyum, negative)
519 | kamarnya baik . pelayanan baik . meski check in terlambat tetap dibukakan pintu . | (kamarnya, baik, positive); (pelayanan, baik, positive)
520 | memang sudah agak tua . kolam renang kotor , kamar mandi ada beberapa kecoaknya : ( . | (kolam renang, kotor, negative); (kamar mandi, ada beberapa kecoaknya, negative)
521 | berssih . putih . tetapi agak masuk lokasi nya . di perumahan . | 
522 | bersih , rekomendasi banget buat yang mau liburan di lembang . | 
523 | yang buat heran saya , pasti sebelum tamu masuk kamar sudah dibereskan dan dibersihkan , apalagi kalau pakai airy ada bennefit lebih yang dirapikan dahulu di kamar sbelum pengunjung masuk . masa bau pengak seperti begitu tidak terasa ? bau nya nyengat banget , sampai buat pusing kepala . ditambah tidak ada ventilasi udara di kamarnya . sehingga sangat wajar jika saat awal diingatkan oleh petugas bahwa kamar no smoking area , sirkulasi udara mengandalkan ac , tetapi jadi parah saat ada bau pengap seperti yang saya alami diatas . | (bau nya, nyengat banget, negative); (ventilasi udara, tidak ada, negative)
524 | kamar bersih . cuma biasanya dapat snack tetapi kok ini tidak ada iya . tidak ada lift jadi lumayan lah naik turun lantai 3 pakai tangga . | (kamar, bersih, negative); (snack, tidak ada, negative); (lift, tidak ada, negative)
525 | kamarnya bersih , karyawannya ramah , cafenya bagus , enak buat tempat kumpulkumpul , akses ke hotel mudah , tempat strategis di pusat kota , dekat dengan tempat wisata , harga bersahabat , sangat recommended ! | (kamarnya, bersih, positive); (karyawannya, ramah, positive); (cafenya, bagus, positive); (akses, mudah, positive); (tempat, strategis, positive); (harga, bersahabat, positive)
526 | cukup memuaskan . | 
527 | kalau budget , agak berisik , kurangnya peredam ruangan di kamar , sehingga suara dari luar kamar terdengar sehingga ke dalam . | 
528 | bersih , kamar luas , ac dingin , sangat puas . | (kamar, luas, positive); (ac, dingin, positive)
529 | sangat memuaskan , bersih dan luas . | 
530 | stafnya baik . rekomendasi buat yang punya dana sedikit tetapi ingin kenyamanan seperti hotel . akan pesan lagi kalau berobat lagi ke rspad gatot subroto dekat banget naik gocar cuma 12000 . | (stafnya, baik, positive)
531 | saat lampu mati , pihak hotel tidak menyediakan genset buat cadangan . dan dua kali hotel mati lampu , serta waktu nya lumayan lama . | 
532 | dekat banget sama jatim park 2 dan jatim park lainnya . | 
533 | sangat nyaman : ) . | 
534 | sangat baik , akan menginap lagi disini . | 
535 | ini bentuknya kost an putri . cukup nyaman kalau hanya untuk istirahat . tetapi kalau bawa bayi batita kurang pas karena takut mengganggu penghuni kost . | 
536 | agak kotor sekarang yah , banyak yang rusak dan tidak dibetulkan . tetapi overall oke lah . air panas langsung keluar , tetapi ketika malam airnya panasnya tidak ada . | (overall, oke, positive); (airnya panasnya, tidak ada, negative)
537 | air panas susah . sedikit banget . cuma 5 menit habis langsung . room oke sih . | (air panas, susah, negative); (room, oke, positive)
538 | kamar nyaman , bersih , pelayanan memuaskan , sarapan enak dan lokasi strategis . sangat recommended untuk kenyamanan maksimalis . | (kamar, nyaman, positive); (kamar, bersih, positive); (pelayanan, memuaskan, positive); (sarapan, enak, positive); (lokasi, strategis, positive); (kenyamanan, maksimalis, positive)
539 | sya sangat suka . jauh dari expektasi sya . thaks airy . next harus ada kamar di daerah papua juga iya . | 
540 | sangat dekat ke bandara . dan sangat mudah . ke bandara . dan tidak mahal . terimakasih . airy . , kalau pulkam pasti inap deh . | 
541 | lumayan tetapi tidak kedap suara . | 
542 | lampu kamar dan wc remangremang . spring bed lembab . wc banyak semut . ac nya juga tidak dingin . jalan menuju hotel juga rumit dan sempit sekali . padahal di foto bagus . sangat kecewa . | (lampu kamar dan wc, remangremang, negative); (spring bed, lembab, negative); (wc, banyak semut, negative); (ac nya, tidak dingin, negative)
543 | kamar bagus bersih , rekomendasi banget lah dengan harga segitu . kolam berenangnya bersih . terimakasih airy room . | (kamar, bagus, positive); (kamar, bersih, positive); (kolam berenangnya, bersih, positive)
544 | penginapannya menyenangkan . cuma nama hotelnya agak susah di cari padahal sebelah jalan . di situ dan . | (penginapannya, menyenangkan, positive)
545 | bersih , fasilitas oke , strategis , sangat ekonomis . | (fasilitas, oke, positive)
546 | sangat baik . hanya sayang tidak disediakan handun . | (handun, tidak disediakan, negative)
547 | sangat memuaskan . guest house layak nya hotel 3 . recomended . akan kembali lagi . | 
548 | minusnya jalan masuk ke hotel agak sempit , tetapi mobil bisa masuk . | 
549 | pelayanan memuaskan , kamar juga nyaman , cuma gedungnya tidak terlalu terlihat , sempat bingung nyarinya , tetapi sangat nyaman untuk beristirahat terimakasih . | (pelayanan, memuaskan, positive); (kamar, nyaman, positive); (gedungnya, tidak terlalu terlihat, negative)
550 | sangat buruk ! saya datang kesana malam hari mala seperti pengemis tidak dibukakan pintu . di telepon pihaknya mala tidak . | 
551 | suasana kamar tidak seperti airy room biasanya . remote tv tidak bisa digunakan dan terlalu sepi . tetapi , pelayanan cukup oke . | (remote tv, tidak bisa digunakan, negative); (pelayanan, cukup oke, positive)
552 | suasana kamar tidak seperti airy room biasanya . remote tv tidak bisa digunakan dan terlalu sepi . tetapi , pelayanan cukup oke . | (remote tv, tidak bisa digunakan, negative); (pelayanan, cukup oke, positive)
553 | sangat mengecewakan sekali , kamar dan fasilitas tidak sesuai dengan foto yang tercantum pada penawaran di . | (kamar, tidak sesuai, negative); (fasilitas, tidak sesuai, negative)
554 | sangat bagus , lokasi strategi dan bersih , pasti akan menginap disini lagi . | (lokasi, strategi, positive); (lokasi, bersih, positive)
555 | agak kecewa iya tetapi maklum hotel tua tetapi pelayanannya jempol . | (pelayanannya, jempol, positive)
556 | depet nya tidak sama he mklum lihat nya di gambar , agak kecil sedikit . tetapi tetap oke lah gpp untuk kebrsihan kamar oke pelayanan ramah di sediakan penyewaan motor juga jadi gampang deh kemana " . | (kebrsihan kamar, oke, positive); (pelayanan, ramah, positive)
557 | depet nya tidak sama he mklum lihat nya di gambar , agak kecil sedikit . tetapi tetap oke lah gpp untuk kebrsihan kamar oke pelayanan ramah di sediakan penyewaan motor juga jadi gampang deh kemana " . | (kebrsihan kamar, oke, positive); (pelayanan, ramah, positive)
558 | nyaman , dekat banget dengan gd sate bandung indah plaza dan lainlain dengan harga trjgkau aplgi pakai promo , recomended buat yang mau liburan di kota bandung . | 
559 | cukup memuaskan , walaupun sempat ada kerusakan di keran air toilet . | 
560 | untuk jet washer airnya beraroma iya , kalau bisa dibenahi supply air untuk jet washer karena sangat menyengat saat di gunakan , agak mengganggu kenyamanan dengan aroma yang ditimbulkan . untuk yang lain saya merasa puas . terima kasih . | (jet washer airnya, beraroma, negative); (air, sangat menyengat, negative); (yang lain, puas, positive)
561 | cukup bersih dan nyaman . | 
562 | ok . cukup luas dan lengkap . ! | 
563 | sangat memuaskan lah menginap disini , dan di dalam kota lagi . tidak nyesal sudah hotel nya nyaman pkok nya . | (hotel nya, nyaman, positive)
564 | tempat nyaman tenang enak buat liburan sama keluarga . recommended banget . | (tempat, nyaman, positive); (tempat, tenang, positive); (tempat, enak, positive)
565 | sangat senang bisa berkunjung , semuanya te o pe , recommended ! | 
566 | untuk yang menginap disini dengan kendaraan pribadi sangat reccomended , karena lokasi di dalam perumahan . overall bagus dengan harga segitu di bogor . | (overall, bagus, positive)
567 | fasilitas oke , hanya agak berisik karena area sekitar lokasi sedang ada proyek pembangunan . | (fasilitas, oke, positive)
568 | cukup memuaskan untuk sebuah hotel transit . | 
569 | lumayan lah dengan hsrga segitu discount dari local guade dan airy . | 
570 | sangat memuaskan . fasilitas baik , pelayanan ramah , breakfast menarik ( tetapi kurang bervariasi ) . | (fasilitas, baik, positive); (pelayanan, ramah, positive); (breakfast, menarik, positive); (breakfast, kurang bervariasi, negative)
571 | bersih tetapi lumayan berisik kalau malam . | 
572 | sangat baik . ada snack nya . senang ada jendelanya , jadi bisa buka jendela . | (snack nya, ada, positive)
573 | lumayan , cuma channel tv nya banyak yang kabur . | (channel tv nya, banyak yang kabur, negative)
574 | sangat kotor , banyak semut , selimutnya dan handuknya kecil , cleaning pelayanan nya tidak mau buang sampah padahal saya 2mlm , dibiarkan saja nmpuk , seprai juga tidak jelas diganti . kalau tidak disuruh bersihkan kamar tidak dibersihkan . | (selimutnya, kecil, negative); (handuknya, kecil, negative); (seprai, tidak jelas diganti, negative)
575 | cukup nyaman kalau hanya untuk istirahat . tetapi kalau bawa bayi batita kurang pas karena takut mengganggu penghuni kost . | 
576 | pas kebetulan waktu inap pas lagi acara wisudaan beberapa universitas jadi full terus dan yang disayangkan untuk makan pagi pegawainya belum datang jadi kalau yang pagi banget tidak makan jdnya . | 
577 | saat check in harus ninggalin uang deposit agak ribet jadi nya karena biasa nya airy tidak ada buat deposit ribet karena tidak ada pemberitaun dari pihak airys sebelum nya moga kedepan nya lebih baik . | 
578 | kamar minimalis namun tetap nyaman . | (kamar, minimalis, negative); (kamar, nyaman, positive)
579 | kamar nyaman , harga terjangkau , bersih , kamar mandi bersih , nyaman . cocoknya memang untuk tempat beristirahat karrna agak jauh dari jalan raya . | (kamar, nyaman, positive); (harga, terjangkau, positive); (kamar mandi, bersih, positive); (kamar mandi, nyaman, positive)
580 | penjaganya ramah . semuanya sesuai ekspetasi tidak ada masalah , cocok banget buat tempat peristirahatan selama liburan buat yang budgetnya pas pasan . | (penjaganya, ramah, positive); (semuanya, sesuai, positive)
581 | bersih dan nyaman cuma agak berisik . | 
582 | cukup baik , pelayanan ramah , cuma seprai agak kotor dan lantai nya sedikit lengket . | (pelayanan, ramah, positive); (seprai, agak kotor, negative); (lantai nya, sedikit lengket, negative)
583 | sangat baik . | 
584 | kamar luas banget , bisa diisi banyakan tetap nyaman . kamar mandi mewah luas . rekomen banget . pasti balik lagi kesini . | (kamar, luas banget, positive); (kamar mandi, mewah, positive); (kamar mandi, luas, positive)
585 | cukup nyaman , bersih , hanya agak jauh dari jalan utama . | 
586 | cukup nyaman , bersih , hanya agak jauh dari jalan utama . | 
587 | cukup baik untuk liburan keluarga . | 
588 | biasa saja , tidak terlalu ramai , pelayanannya bagus dan ramah . | (pelayanannya, bagus, positive); (pelayanannya, ramah, positive)
589 | biasa saja , tidak terlalu ramai , pelayanannya bagus dan ramah . | (pelayanannya, bagus, positive); (pelayanannya, ramah, positive)
590 | lokasi di daerah komplek , . kalau untu kamar yang singel room itu mmg kecil , area untu sholat di kamar terbatas , mungkin kedepannya bisa diganti seprainya karena ada noda yang kurang sedap dipandang , tetapi secara keseluruhan untuk yang menginap sehari sangat cocok dengan budget minimal . | (seprainya, kurang sedap dipandang, negative)
591 | ini kali kedua menginap di airy umbulharjo babaran 71 homestay rasa hotel berbintang . recomanded banget . | 
592 | ( - ) tempatnya kurang bersih . tipetipe penginapan lama . aku personal terus terang agak seram . tidak sempat sarapan karena baru siap jam 7 , padahal terlanjur pergi . ( + ) pegawainya cukup ramah . | (tempatnya, kurang bersih, negative); (pegawainya, cukup ramah, positive)
593 | tidak ada yang bertulisan airy di room 107 , remote tv tidak bisa di pakai ( rusak ) , remote ac tidak ada ( hidupin ac manual ) , perlengkapan kamar mandi hanya ada handuk . kami sangat kecewa yang di room 107 room 103 sangat puas perlengkapan room ada semua . | (remote tv, tidak bisa, negative); (remote ac, tidak ada, negative)
594 | cukup bersih dan wifi okelah . | (wifi, okelah, positive)
595 | sudah cukup baik . harga segitu cuma untuk istirahat sudah sangat bagus . hanya saja air hangatnya kurang berfungsi dengan baik . | (harga, sangat bagus, positive); (air hangatnya, kurang berfungsi dengan baik, negative)
596 | recommended banget untuk harga segitu . | 
597 | resepsionis baru bangun . pelayanan kurang ramah , sampai disana pun kamar belum disiapkan , padahal sudah jauh banget dari jam check in , terus ac tidak nyala dan harus menunggu lagi , waktu check out juga mengecewakan . saya tidak ingin menginap dihotel ini lagi . | (resepsionis, baru bangun, negative); (pelayanan, kurang ramah, negative); (kamar, belum disiapkan, negative); (ac, tidak nyala, negative); (check out, mengecewakan, negative)
598 | sangat menyenangkan . | 
599 | sangat buruk . sudah pesan dan bayar tetapi dibatalkan sepihak sama airy . tidak lagi pakai airy . | 
600 | lumayan twrjangkau , putaran air keran nya kadang panas kadang dingin : ) . | (air keran nya, kadang panas kadang dingin, negative)
601 | nyaman sih . cuma agak sempit . makanan lumayanlah untuk perut lapar . tetapi kopinya amat sangat tidak enak . pelayanan ramah . kamar bersih . kurang relah rela beli neskafe sachet dari pada minum kopinya hotel . | (makanan, lumayanlah, positive); (kopinya, amat sangat tidak enak, negative); (pelayanan, ramah, positive); (kamar, bersih, positive)
602 | pilih kamar yang kasurnya muat 2 orang . awalnya bagus tetapi tengah malam listriknya habis dan disuruh pindah kamar yang kasurnya lebih kecil . tidak ada disediakan pouch yang isinya perlengkapan mandi . agak kecewa sebenarnya . | (awalnya, bagus, negative); (listriknya, habis, negative); (kasurnya, kecil, negative); (pouch yang isinya perlengkapan mandi, tidak ada disediakan, negative)
603 | 1 . hentikan kontak dari yang tersedia 6 lubang , yang bisa dipakai cuma 1 lubang , 2 lubang buat tv dan kulkas . kok pelit listrik banget , terus pas pakai kompor listrik bahkan turun daya . | (yang bisa dipakai, cuma 1, negative); (listrik, pelit, negative); (daya, turun, negative)
604 | lumayan lah . meski lelah naik turun tangga mantap . | (tangga, lelah naik turun, negative)
605 | kolam renang nya kotor sik . tetapi pelayanannya lumayan untuk budget sangat . | (kolam renang nya, kotor, negative); (pelayanannya, lumayan, positive)
606 | cukup baik hanya sedang renovasi jadi terlihat kotor , pelayanan oke . | (pelayanan, oke, positive)
607 | sangat ramah , sangat bersih , sangat memuaskan . | 
608 | pelayanan ramah , hotel baru , kamar mandi besar , tetapi sayangnya air panas untuk malam tidak menyala ( agak kecewa dengan ini ) . | (pelayanan, ramah, positive); (hotel, baru, positive); (kamar mandi, besar, positive); (air panas, tidak menyala, negative)
609 | sangat memuaskan . tempat nyaman , bersih , penjaga nya ramah , dekat dengan prawirotaman . harga terjangkau . | (tempat, nyaman, positive); (penjaga nya, ramah, positive); (prawirotaman, dekat, positive); (harga, terjangkau, positive)
610 | hotel bagus dan pemandanganya juga bagus . tetapi kusus buat kamat airynya benarbenar berbeda sekali dengan kamar lainya , kamar airynya banyak sarang labalaba tempat tidur yang sudah tidak nyaman karena pernya berasa banget dibadan dan sudah miringmiring , ac dikamat juga tidak dingin apa lagi kamar tidak ada ventilasi sama sekali jadi semakin berasa pengap . | (hotel, bagus, positive); (pemandanganya, bagus, positive); (kamat airynya, benarbenar berbeda sekali dengan kamar lainya, negative); (kamar airynya, banyak sarang labalaba, negative); (tempat tidur, tidak nyaman, negative); (ac, tidak dingin, negative); (kamar, pengap, negative); (ventilasi, tidak ada, negative)
611 | cukup nyaman . | 
612 | mantap , kamar bersih , fasilitas mewah , pelayanan ramah . sangat recommended . | (kamar, bersih, positive); (fasilitas, mewah, positive); (pelayanan, ramah, positive)
613 | cukup baik , namun fasilitas kamarnya banyak yang rusak . | (fasilitas kamarnya, rusak, negative)
614 | lumayan lah . sangat terjangkau , namun perlu ada yang dibenahi soal kebersihan kasurnya . kemarin saya mendapati kasurnya jorok , banyak helai rambut , sepertinya belum dibersihkan belum diganti seprai bekas pengunjung sebelumnya . | (kebersihan kasurnya, perlu ada yang dibenahi, negative); (kasurnya, jorok, negative); (dibersihkan, belum, negative); (seprai, belum diganti, negative)
615 | lumayan lah . sangat terjangkau , namun perlu ada yang dibenahi soal kebersihan kasurnya . kemarin saya mendapati kasurnya jorok , banyak helai rambut , sepertinya belum dibersihkan belum diganti seprai bekas pengunjung sebelumnya . | (kebersihan kasurnya, perlu ada yang dibenahi, negative); (kasurnya, jorok, negative); (dibersihkan, belum, negative); (seprai, belum diganti, negative)
616 | bagus nyaman beraih rapi wangi , top banget . | 
617 | kamar nyaman cuma parkir untuk kendaraan roda 4 yang kurang jadi agak kesulitan untuk parkir . | (kamar, nyaman, positive); (parkir, kurang, negative)
618 | lokasi memang strategis walaupun memang agak terganggu karena tepat di depan hotel sedang ada pembangunan . namun resepsionis laki laki yang rambutnya di cat sedikit warna putih , tidak ada senyum sama sekali , cenderung kaku seperti robot . | (lokasi, strategis, positive); (resepsionis, kaku, negative)
619 | sangat nyaman dan pemandangan nya bagus . | (pemandangan nya, bagus, positive)
620 | baik dan sangat nyaman . | 
621 | good dan recomended banget . | 
622 | keluarga ketinggalan kacamata baca tetapi baru beberapa jam kemudian kami datangi kembali informasi yang kami dapat justru sangat mengecewakan bahwa kacamata tersebut sudah dibuang . hal ini yang sangat disesalkan sekali bukannya disimpan terlebih dahulu . | (kacamata, dibuang, negative)
623 | kebersihan sama pelayanannya oke . recommended banget . | (kebersihan, oke, positive); (pelayanannya, oke, positive)
624 | sangat puas , pelayanan baik . | (pelayanan, baik, positive)
625 | kotor dan tidak bagus servicenya . kapok banget . | (servicenya, tidak bagus, negative)
626 | saya cek in tanggal 2 maret 2018 hari jumat tetapi malamnya saya tidak tidur dikamar dan kunci tetap saya bawa . dan saya besoknya dihubungi oleh pihak penjaga bahwasannya kamar saya dimasukin mereka karena ada yang bocor dipipa wastafel . lalu mereka mengganti kamar saya dan kamar yang digantikan bekas dipakai orang . karena ada handuk basah dan kotor . | (handuk, basah, negative); (handuk, kotor, negative)
627 | agak bau rokok : ) . | 
628 | tidak layak untuk hotel , penginapan apalagi airy room yang terkenal dengan bersih nyaman dengan harga lumayan standar bagi kita hanya sekedar numpang tidur . | (hotel, tidak layak, negative)
629 | kebersihan seprai harus tetap dijaga iya . tetapi overall semua oke . | (overall, oke, positive)
630 | kamar rapi , nyaman , pelayanan ramah . recomended banget deh . tetapi sayang pas buka tirai jendela , pemandangan nya kurang bagus . | (kamar, rapi, positive); (kamar, nyaman, positive); (pelayanan, ramah, positive); (pemandangan nya, kurang bagus, negative)
631 | banyak jaring laba laba kasur berisik sangat tidak layak dengan nama besar dan sering malang melintang di iklan tv , sangat butuh perbaikan kedepannya . | (kasur, banyak jaring laba laba, negative)
632 | cukup memuaskan dan tempat nya tenang . | (tempat nya, tenang, positive)
633 | dekat banget sama tempat pemberlanjaan . | 
634 | pelayanannya sangat baik , cocok banget buat para traveller yang ingin inap di daerah ciputat . | (pelayanannya, sangat baik, positive)
635 | sangat baik . | 
636 | lumayan buat istirahat . | 
637 | sebel karena restoran tempat sarapan ruangan ber ac tetapi diperbolehkan merokok bau nya sangat mengganggu pernapasan bagi yang tidak merokok . | (merokok, diperbolehkan, negative); (bau, mengganggu pernapasan, negative)
638 | cukup nyaman tetapi ac nya kurang dingin . | (ac nya, kurang dingin, negative)
639 | tenang cuma agak kepanasan sedikit ac kurang stabil . | (ac, kurang stabil, negative)
640 | cukup sekali . selimut masih bau , buat tidak nyaman tidur . yah sesuai harga lah . | (selimut, bau, negative)
641 | sangat memuaskan , penjaganya ramah . ac cukup dingin . | (penjaganya, ramah, positive); (ac, cukup dingin, positive)
642 | overall nyamanlah . lokasi dekat stasiun , banyak warung makan dan laundri si sekitar . ac dingin , kamar mandi lumayan tanpa pemanas , tv oke . cuma agak sempit saja dan wifi tidak bisa diakses . | (overall, nyamanlah, positive); (lokasi, dekat stasiun, positive); (warung makan, banyak, positive); (laundri, banyak, positive); (ac, dingin, positive); (kamar mandi, lumayan, positive); (pemanas, tanpa, negative); (tv, oke, positive); (wifi, tidak bisa diakses, negative)
643 | bagus ini nyaman banget yang kurang itu coba saja ada termos yang teko buat masak air panas sama teh saset sama gula jadi pagi " bisa buat teh . tetapi ini sudah bagus kok . | (termos, coba saja ada, negative)
644 | sangat memuaskan . kamar dibersihkan tiap hari , handuk diganti , ada welcome snack , dilengkapi dengan pemanas air dan pengering rambut . | (kamar, dibersihkan, positive); (handuk, diganti, positive); (welcome snack, ada, positive); (pemanas air, dilengkapi, positive); (pengering rambut, dilengkapi, positive)
645 | sudah lunas bayar tetapi kamar tidak tersedia sampai harus menunggu dan agak rebutan dengan pelanggan lainnya agar dapat kamar . | (kamar, tidak tersedia, negative); (kamar, menunggu, negative); (kamar, rebutan, negative)
646 | cukup baik kok . tetapi , kamar yang saya dapat no window . dan handuknya kotor , mengeluh . selebihnya seperti ac dan air panas si oke saja . | (window, no, negative); (handuknya, kotor, negative); (selebihnya, oke, positive); (ac, oke, positive); (air panas, oke, positive)
647 | iya lumayan baik , semoga airy lebih jaya lagi dan nilai lebih bersaing dengan travel yang lain dan kami terjangkau oleh pengguna jasa airy terimakasih . | 
648 | untuk harga murah , worth it . bersih , cukup tenang , mudah ditemukan . dekat alfamidi . | (harga, murah, positive)
649 | pelayananya ramah dan pokoknya keren banget deh . | (pelayananya, ramah, positive)
650 | nyaman dan bersih banget ! | 
651 | kamarnya sempit dan pengap . unik memang designnya . kalau luas sedikit lagi saja pasti bagus . dan ventilasi / blower . itu perlu banget . posisi ac perlu diganti . | (kamarnya, sempit, negative); (kamarnya, pengap, negative); (designnya, unik, positive); (posisi ac, perlu diganti, negative)
652 | yah sebenarnya tidak berharap bagaimana juga . karena memang sesuai harga sih . tetapi yang agak buat kesel di kamar mandi jorok sekali . ada handuk bekas orang menginap dan masih bau pesing . | (kamar mandi, jorok sekali, negative); (kamar mandi, bau pesing, negative)
653 | sangat bagus dan sangat nyaman . | 
654 | sangat puas . | 
655 | lumayan bagus dan tempat nya strategis . | (tempat nya, strategis, positive)
656 | kamar bersih , toilet bersih , ac dingin , air panas lancar , nyamuk lumayan banyak , mohon diperhatikan , saat sarapan tidak diberitahu makanannya sudah dingin jadi tidak enak . | (kamar, bersih, positive); (toilet, bersih, positive); (ac, dingin, positive); (air panas, lancar, positive); (sarapan, tidak enak, negative)
657 | sangat baik pelayanan prima . | (pelayanan, prima, positive)
658 | lumayan untuk budget hotel . | 
659 | sangat direkomendasikan untuk tinggal disini , bersih , sunyi dan tenang , dapat welcome snack dan ibunya so friendly . bintang 5 deh . | (welcome snack, dapat, positive); (ibunya, friendly, positive)
660 | sangat memuaskan . liburan bersama keluarga dan orang tua . anak sangat senang karena bisa main di kolam renang . | 
661 | bersih banget , kamar mandi bersih , kasur tv dan ada snacknya , senang banget menginap disini , bakal jadi langganan . | (kamar mandi, bersih, positive); (snacknya, ada, positive)
662 | kamar sangat bagus untuk biaya ekonomis . rekomen banget . | (kamar, sangat bagus, positive)
663 | naik ke lantai 3 jam tangga , lelah . tetapi kamar nya mantap , bersih , nyaman , dan tenang buat istirahat . puas banget inap disini . | (kamar nya, mantap, positive); (kamar nya, bersih, positive); (kamar nya, nyaman, positive); (kamar nya, tenang, positive)
664 | tempat nya bagus cuma sebelah studio musik jadi lumayan berisik . | (tempat nya, bagus, positive)
665 | pemilik penginapan ramah dan kamarnya bersih , sangat memuaskan . | (pemilik penginapan, ramah, positive); (kamarnya, bersih, positive)
666 | saya sangat puas pertama kali menginap 2 malam di airy rooms . fasilitas lengkap , bersih , rapi dan nyaman banget pokoknya baru kali ini saya menginap seperti di hotel berbintang dengan harga yang sangat terjangkau sukses terus iya perbanyak diskon biar saya seringsering menginap , betah banget ! | (fasilitas, lengkap, positive)
667 | saya sangat puas pertama kali menginap 2 malam di airy rooms . fasilitas lengkap , bersih , rapi dan nyaman banget pokoknya baru kali ini saya menginap seperti di hotel berbintang dengan harga yang sangat terjangkau sukses terus iya perbanyak diskon biar saya seringsering menginap , betah banget ! | (fasilitas, lengkap, positive)
668 | sangat kecewa , dapat konfirmasi kamar ini penuh , padahal sebelum saya bayar masih ada 1 kamar kosong , mohon di perbaiki . | (kamar, penuh, negative)
669 | saat saya memilih tempat ini , sangat mengecewakan dari pihak airy , karena pesanan kar saya di batalkan tibatiba . dengan alasan kamar telah penuh . padahal saya sudah memesan kamar hotel ini melalui airy dan sudah melakukan pembayaran . dan invoice saya sudah terbit . sangat kecewa dengan pihak airy . | (kamar, penuh, negative)
670 | lumayan memuaskan . | 
671 | tidak terlalu berisik meski di kuta . | 
672 | tidak terlalu berisik meski di kuta . | 
673 | terlalu kecil dan sempit . | 
674 | terlalu kecil dan sempit . | 
675 | cukup memuaskan sesuai dengan harganya . | 
